interval,evaluatedTests,individualsWithSqlFailedWhere,evaluatedActions,elapsedSeconds,generatedTests,generatedTestTotalSize,coveredTargets,lastActionImprovement,distinctActions,endpoints,covered2xx,gqlNoErrors,gqlErrors,gqlErrorsPerLines,errors5xx,distinct500Faults,failedOracleExpectations,potentialFaults,numberOfBranches,numberOfLines,numberOfReplacedMethodsInSut,numberOfReplacedMethodsInThirdParty,numberOfTrackedMethods,numberOfInstrumentedNumberComparisons,numberOfUnits,coveredLines,coveredBranches,avgReturnCodes,maxReturnCodes,testTimeouts,coverageFailures,clusteringTime,id,S1dR,S1iR,S2dR,SMdR,abstractInitializationGeneToMutate,adaptiveGeneSelectionMethod,algorithm,appendToStatisticsFile,archiveAfterMutationFile,archiveGeneMutation,archiveTargetLimit,avoidNonDeterministicLogs,baseTaintAnalysisProbability,bbExperiments,bbSwaggerUrl,bbTargetUrl,blackBox,bloatControlForSecondaryObjective,coveredTargetFile,coveredTargetSortedBy,createTests,customNaming,d,dependencyFile,disableStructureMutationDuringFocusSearch,doCollectImpact,doesApplyNameMatching,e_u1f984,employSqlNumResourceStrategy,enableBasicAssertions,enableNLPParser,enableProcessMonitor,enableTrackEvaluatedIndividual,enableTrackIndividual,enableWeightBasedMutationRateSelectionForGene,endNumberOfMutations,endpointFocus,errorTextEpsilon,exceedTargetsFile,executiveSummary,expandRestIndividuals,expectationsActive,exportCoveredTarget,exportDependencies,exportImpacts,extraHeuristicsFile,extractSqlExecutionInfo,feedbackDirectedSampling,focusedSearchActivationTime,geneMutationStrategy,geneWeightBasedOnImpactsBy,generateSqlDataWithDSE,generateSqlDataWithSearch,heuristicsForSQL,impactAfterMutationFile,impactFile,jsControllerPath,killSwitch,lastLineEpsilon,maxActionEvaluations,maxLengthOfTraces,maxMutationRate,maxResponseByteSize,maxSearchSuiteSize,maxSqlInitActionsPerMissingData,maxSqlInitActionsPerResource,maxTestSize,maxTime,maxTimeInSeconds,maxlengthOfHistoryForAGM,minRowOfTable,minimumSizeControl,mutatedGeneFile,mutationTargetsSelectionStrategy,outputFilePrefix,outputFileSuffix,outputFolder,outputFormat,populationSize,probOfApplySQLActionToCreateResources,probOfArchiveMutation,probOfEnablingResourceDependencyHeuristics,probOfRandomSampling,probOfSelectFromDatabase,probOfSmartSampling,problemType,processFiles,processFormat,processInterval,ratePerMinute,recordExceededTargets,resourceSampleStrategy,saveArchiveAfterMutation,saveImpactAfterMutation,saveMutationInfo,secondaryObjectiveStrategy,seed,seedTestCases,seedTestCasesFormat,seedTestCasesPath,showProgress,skipFailureSQLInTestFile,snapshotInterval,snapshotStatisticsFile,specializeSQLGeneSelection,startNumberOfMutations,startingPerOfGenesToMutate,statisticsColumnId,statisticsFile,stoppingCriterion,structureMutationProbability,sutControllerHost,sutControllerPort,testSuiteFileName,testSuiteSplitType,tournamentSize,useMethodReplacement,useNonIntegerReplacement,useTimeInFeedbackSampling,useWeightedSampling,weightBasedMutationRate,writeExtraHeuristicsFile,writeStatistics,xoverProbability
5.0,8,0,51,50,6,25,33,44,12,12,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,0,countries-274616,0.25,0.25,0.25,0.25,false,APPROACH_IMPACT,MIO,true,archive.csv,SPECIFIED_WITH_SPECIFIC_TARGETS,10,false,0.9,false,,https://countries-274616.ew.r.appspot.com/,true,false,coveredTargets.txt,NAME,true,true,0.8,dependencies.csv,false,false,false,false,NONE,true,false,false,true,false,true,10,null,0.8,exceedTargets.txt,false,true,true,false,false,false,extra_heuristics.csv,true,LAST,0.5,ONE_OVER_N_BIASED_SQL,RATIO,false,true,true,impactSnapshot.csv,impact.csv,./app-driver.js,true,0.8,1000,10,0.9,1000000,50,5,0,10,60s,0,10,10,2,mutatedGeneInfo.csv,FIRST_NOT_COVERED_TARGET,EM_bbExp_False_rate_60_1_Test,,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/tests/countries-274616,JAVA_JUNIT_4,30,0.0,0.5,0.0,0.5,0.1,0.5,GRAPHQL,process_data,JSON_ALL,0.0,60,false,NONE,false,false,false,AVG_DISTANCE_SAME_N_ACTIONS,1,false,POSTMAN,postman.postman_collection.json,false,false,5.0,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/reports/snapshot_countries-274616_1.csv,true,1,0.5,countries-274616,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/reports/statistics_countries-274616_1.csv,FITNESS_EVALUATIONS,0.5,localhost,1080,,NONE,10,true,true,true,false,true,false,true,0.7
10.0,19,0,107,106,12,43,36,99,12,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,0,countries-274616,0.25,0.25,0.25,0.25,false,APPROACH_IMPACT,MIO,true,archive.csv,SPECIFIED_WITH_SPECIFIC_TARGETS,10,false,0.9,false,,https://countries-274616.ew.r.appspot.com/,true,false,coveredTargets.txt,NAME,true,true,0.8,dependencies.csv,false,false,false,false,NONE,true,false,false,true,false,true,10,null,0.8,exceedTargets.txt,false,true,true,false,false,false,extra_heuristics.csv,true,LAST,0.5,ONE_OVER_N_BIASED_SQL,RATIO,false,true,true,impactSnapshot.csv,impact.csv,./app-driver.js,true,0.8,1000,10,0.9,1000000,50,5,0,10,60s,0,10,10,2,mutatedGeneInfo.csv,FIRST_NOT_COVERED_TARGET,EM_bbExp_False_rate_60_1_Test,,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/tests/countries-274616,JAVA_JUNIT_4,30,0.0,0.5,0.0,0.5,0.1,0.5,GRAPHQL,process_data,JSON_ALL,0.0,60,false,NONE,false,false,false,AVG_DISTANCE_SAME_N_ACTIONS,1,false,POSTMAN,postman.postman_collection.json,false,false,5.0,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/reports/snapshot_countries-274616_1.csv,true,1,0.5,countries-274616,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/reports/statistics_countries-274616_1.csv,FITNESS_EVALUATIONS,0.5,localhost,1080,,NONE,10,true,true,true,false,true,false,true,0.7
15.0,27,0,154,153,11,30,36,148,12,12,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1,0,0,0,countries-274616,0.25,0.25,0.25,0.25,false,APPROACH_IMPACT,MIO,true,archive.csv,SPECIFIED_WITH_SPECIFIC_TARGETS,10,false,0.9,false,,https://countries-274616.ew.r.appspot.com/,true,false,coveredTargets.txt,NAME,true,true,0.8,dependencies.csv,false,false,false,false,NONE,true,false,false,true,false,true,10,null,0.8,exceedTargets.txt,false,true,true,false,false,false,extra_heuristics.csv,true,LAST,0.5,ONE_OVER_N_BIASED_SQL,RATIO,false,true,true,impactSnapshot.csv,impact.csv,./app-driver.js,true,0.8,1000,10,0.9,1000000,50,5,0,10,60s,0,10,10,2,mutatedGeneInfo.csv,FIRST_NOT_COVERED_TARGET,EM_bbExp_False_rate_60_1_Test,,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/tests/countries-274616,JAVA_JUNIT_4,30,0.0,0.5,0.0,0.5,0.1,0.5,GRAPHQL,process_data,JSON_ALL,0.0,60,false,NONE,false,false,false,AVG_DISTANCE_SAME_N_ACTIONS,1,false,POSTMAN,postman.postman_collection.json,false,false,5.0,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/reports/snapshot_countries-274616_1.csv,true,1,0.5,countries-274616,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/reports/statistics_countries-274616_1.csv,FITNESS_EVALUATIONS,0.5,localhost,1080,,NONE,10,true,true,true,false,true,false,true,0.7
20.0,33,0,201,224,12,38,38,192,12,12,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0833333333333333,2,1,0,0,countries-274616,0.25,0.25,0.25,0.25,false,APPROACH_IMPACT,MIO,true,archive.csv,SPECIFIED_WITH_SPECIFIC_TARGETS,10,false,0.9,false,,https://countries-274616.ew.r.appspot.com/,true,false,coveredTargets.txt,NAME,true,true,0.8,dependencies.csv,false,false,false,false,NONE,true,false,false,true,false,true,10,null,0.8,exceedTargets.txt,false,true,true,false,false,false,extra_heuristics.csv,true,LAST,0.5,ONE_OVER_N_BIASED_SQL,RATIO,false,true,true,impactSnapshot.csv,impact.csv,./app-driver.js,true,0.8,1000,10,0.9,1000000,50,5,0,10,60s,0,10,10,2,mutatedGeneInfo.csv,FIRST_NOT_COVERED_TARGET,EM_bbExp_False_rate_60_1_Test,,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/tests/countries-274616,JAVA_JUNIT_4,30,0.0,0.5,0.0,0.5,0.1,0.5,GRAPHQL,process_data,JSON_ALL,0.0,60,false,NONE,false,false,false,AVG_DISTANCE_SAME_N_ACTIONS,1,false,POSTMAN,postman.postman_collection.json,false,false,5.0,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/reports/snapshot_countries-274616_1.csv,true,1,0.5,countries-274616,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/reports/statistics_countries-274616_1.csv,FITNESS_EVALUATIONS,0.5,localhost,1080,,NONE,10,true,true,true,false,true,false,true,0.7
25.0,41,0,254,327,12,37,38,244,12,12,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0833333333333333,2,3,0,0,countries-274616,0.25,0.25,0.25,0.25,false,APPROACH_IMPACT,MIO,true,archive.csv,SPECIFIED_WITH_SPECIFIC_TARGETS,10,false,0.9,false,,https://countries-274616.ew.r.appspot.com/,true,false,coveredTargets.txt,NAME,true,true,0.8,dependencies.csv,false,false,false,false,NONE,true,false,false,true,false,true,10,null,0.8,exceedTargets.txt,false,true,true,false,false,false,extra_heuristics.csv,true,LAST,0.5,ONE_OVER_N_BIASED_SQL,RATIO,false,true,true,impactSnapshot.csv,impact.csv,./app-driver.js,true,0.8,1000,10,0.9,1000000,50,5,0,10,60s,0,10,10,2,mutatedGeneInfo.csv,FIRST_NOT_COVERED_TARGET,EM_bbExp_False_rate_60_1_Test,,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/tests/countries-274616,JAVA_JUNIT_4,30,0.0,0.5,0.0,0.5,0.1,0.5,GRAPHQL,process_data,JSON_ALL,0.0,60,false,NONE,false,false,false,AVG_DISTANCE_SAME_N_ACTIONS,1,false,POSTMAN,postman.postman_collection.json,false,false,5.0,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/reports/snapshot_countries-274616_1.csv,true,1,0.5,countries-274616,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/reports/statistics_countries-274616_1.csv,FITNESS_EVALUATIONS,0.5,localhost,1080,,NONE,10,true,true,true,false,true,false,true,0.7
30.0,50,0,307,433,14,42,40,300,12,12,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1666666666666667,2,5,0,0,countries-274616,0.25,0.25,0.25,0.25,false,APPROACH_IMPACT,MIO,true,archive.csv,SPECIFIED_WITH_SPECIFIC_TARGETS,10,false,0.9,false,,https://countries-274616.ew.r.appspot.com/,true,false,coveredTargets.txt,NAME,true,true,0.8,dependencies.csv,false,false,false,false,NONE,true,false,false,true,false,true,10,null,0.8,exceedTargets.txt,false,true,true,false,false,false,extra_heuristics.csv,true,LAST,0.5,ONE_OVER_N_BIASED_SQL,RATIO,false,true,true,impactSnapshot.csv,impact.csv,./app-driver.js,true,0.8,1000,10,0.9,1000000,50,5,0,10,60s,0,10,10,2,mutatedGeneInfo.csv,FIRST_NOT_COVERED_TARGET,EM_bbExp_False_rate_60_1_Test,,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/tests/countries-274616,JAVA_JUNIT_4,30,0.0,0.5,0.0,0.5,0.1,0.5,GRAPHQL,process_data,JSON_ALL,0.0,60,false,NONE,false,false,false,AVG_DISTANCE_SAME_N_ACTIONS,1,false,POSTMAN,postman.postman_collection.json,false,false,5.0,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/reports/snapshot_countries-274616_1.csv,true,1,0.5,countries-274616,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/reports/statistics_countries-274616_1.csv,FITNESS_EVALUATIONS,0.5,localhost,1080,,NONE,10,true,true,true,false,true,false,true,0.7
35.0,58,0,354,538,14,38,40,344,12,12,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1666666666666667,2,7,0,0,countries-274616,0.25,0.25,0.25,0.25,false,APPROACH_IMPACT,MIO,true,archive.csv,SPECIFIED_WITH_SPECIFIC_TARGETS,10,false,0.9,false,,https://countries-274616.ew.r.appspot.com/,true,false,coveredTargets.txt,NAME,true,true,0.8,dependencies.csv,false,false,false,false,NONE,true,false,false,true,false,true,10,null,0.8,exceedTargets.txt,false,true,true,false,false,false,extra_heuristics.csv,true,LAST,0.5,ONE_OVER_N_BIASED_SQL,RATIO,false,true,true,impactSnapshot.csv,impact.csv,./app-driver.js,true,0.8,1000,10,0.9,1000000,50,5,0,10,60s,0,10,10,2,mutatedGeneInfo.csv,FIRST_NOT_COVERED_TARGET,EM_bbExp_False_rate_60_1_Test,,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/tests/countries-274616,JAVA_JUNIT_4,30,0.0,0.5,0.0,0.5,0.1,0.5,GRAPHQL,process_data,JSON_ALL,0.0,60,false,NONE,false,false,false,AVG_DISTANCE_SAME_N_ACTIONS,1,false,POSTMAN,postman.postman_collection.json,false,false,5.0,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/reports/snapshot_countries-274616_1.csv,true,1,0.5,countries-274616,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/reports/statistics_countries-274616_1.csv,FITNESS_EVALUATIONS,0.5,localhost,1080,,NONE,10,true,true,true,false,true,false,true,0.7
40.0,65,0,402,612,14,38,40,388,12,12,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1666666666666667,2,8,0,0,countries-274616,0.25,0.25,0.25,0.25,false,APPROACH_IMPACT,MIO,true,archive.csv,SPECIFIED_WITH_SPECIFIC_TARGETS,10,false,0.9,false,,https://countries-274616.ew.r.appspot.com/,true,false,coveredTargets.txt,NAME,true,true,0.8,dependencies.csv,false,false,false,false,NONE,true,false,false,true,false,true,10,null,0.8,exceedTargets.txt,false,true,true,false,false,false,extra_heuristics.csv,true,LAST,0.5,ONE_OVER_N_BIASED_SQL,RATIO,false,true,true,impactSnapshot.csv,impact.csv,./app-driver.js,true,0.8,1000,10,0.9,1000000,50,5,0,10,60s,0,10,10,2,mutatedGeneInfo.csv,FIRST_NOT_COVERED_TARGET,EM_bbExp_False_rate_60_1_Test,,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/tests/countries-274616,JAVA_JUNIT_4,30,0.0,0.5,0.0,0.5,0.1,0.5,GRAPHQL,process_data,JSON_ALL,0.0,60,false,NONE,false,false,false,AVG_DISTANCE_SAME_N_ACTIONS,1,false,POSTMAN,postman.postman_collection.json,false,false,5.0,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/reports/snapshot_countries-274616_1.csv,true,1,0.5,countries-274616,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/reports/statistics_countries-274616_1.csv,FITNESS_EVALUATIONS,0.5,localhost,1080,,NONE,10,true,true,true,false,true,false,true,0.7
45.0,73,0,451,662,14,37,40,433,12,12,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1666666666666667,2,8,0,0,countries-274616,0.25,0.25,0.25,0.25,false,APPROACH_IMPACT,MIO,true,archive.csv,SPECIFIED_WITH_SPECIFIC_TARGETS,10,false,0.9,false,,https://countries-274616.ew.r.appspot.com/,true,false,coveredTargets.txt,NAME,true,true,0.8,dependencies.csv,false,false,false,false,NONE,true,false,false,true,false,true,10,null,0.8,exceedTargets.txt,false,true,true,false,false,false,extra_heuristics.csv,true,LAST,0.5,ONE_OVER_N_BIASED_SQL,RATIO,false,true,true,impactSnapshot.csv,impact.csv,./app-driver.js,true,0.8,1000,10,0.9,1000000,50,5,0,10,60s,0,10,10,2,mutatedGeneInfo.csv,FIRST_NOT_COVERED_TARGET,EM_bbExp_False_rate_60_1_Test,,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/tests/countries-274616,JAVA_JUNIT_4,30,0.0,0.5,0.0,0.5,0.1,0.5,GRAPHQL,process_data,JSON_ALL,0.0,60,false,NONE,false,false,false,AVG_DISTANCE_SAME_N_ACTIONS,1,false,POSTMAN,postman.postman_collection.json,false,false,5.0,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/reports/snapshot_countries-274616_1.csv,true,1,0.5,countries-274616,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/reports/statistics_countries-274616_1.csv,FITNESS_EVALUATIONS,0.5,localhost,1080,,NONE,10,true,true,true,false,true,false,true,0.7
50.0,82,0,506,717,14,37,40,470,12,12,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1666666666666667,2,8,0,0,countries-274616,0.25,0.25,0.25,0.25,false,APPROACH_IMPACT,MIO,true,archive.csv,SPECIFIED_WITH_SPECIFIC_TARGETS,10,false,0.9,false,,https://countries-274616.ew.r.appspot.com/,true,false,coveredTargets.txt,NAME,true,true,0.8,dependencies.csv,false,false,false,false,NONE,true,false,false,true,false,true,10,null,0.8,exceedTargets.txt,false,true,true,false,false,false,extra_heuristics.csv,true,LAST,0.5,ONE_OVER_N_BIASED_SQL,RATIO,false,true,true,impactSnapshot.csv,impact.csv,./app-driver.js,true,0.8,1000,10,0.9,1000000,50,5,0,10,60s,0,10,10,2,mutatedGeneInfo.csv,FIRST_NOT_COVERED_TARGET,EM_bbExp_False_rate_60_1_Test,,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/tests/countries-274616,JAVA_JUNIT_4,30,0.0,0.5,0.0,0.5,0.1,0.5,GRAPHQL,process_data,JSON_ALL,0.0,60,false,NONE,false,false,false,AVG_DISTANCE_SAME_N_ACTIONS,1,false,POSTMAN,postman.postman_collection.json,false,false,5.0,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/reports/snapshot_countries-274616_1.csv,true,1,0.5,countries-274616,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb/reports/statistics_countries-274616_1.csv,FITNESS_EVALUATIONS,0.5,localhost,1080,,NONE,10,true,true,true,false,true,false,true,0.7
