interval,evaluatedTests,individualsWithSqlFailedWhere,evaluatedActions,elapsedSeconds,generatedTests,generatedTestTotalSize,coveredTargets,lastActionImprovement,distinctActions,endpoints,covered2xx,gqlNoErrors,gqlErrors,gqlErrorsPerLines,errors5xx,distinct500Faults,failedOracleExpectations,potentialFaults,numberOfBranches,numberOfLines,numberOfReplacedMethodsInSut,numberOfReplacedMethodsInThirdParty,numberOfTrackedMethods,numberOfInstrumentedNumberComparisons,numberOfUnits,coveredLines,coveredBranches,avgReturnCodes,maxReturnCodes,testTimeouts,coverageFailures,clusteringTime,id,S1dR,S1iR,S2dR,SMdR,abstractInitializationGeneToMutate,adaptiveGeneSelectionMethod,algorithm,appendToStatisticsFile,archiveAfterMutationFile,archiveGeneMutation,archiveTargetLimit,avoidNonDeterministicLogs,baseTaintAnalysisProbability,bbExperiments,bbSwaggerUrl,bbTargetUrl,blackBox,bloatControlForSecondaryObjective,coveredTargetFile,coveredTargetSortedBy,createTests,customNaming,d,dependencyFile,disableStructureMutationDuringFocusSearch,doCollectImpact,doesApplyNameMatching,e_u1f984,employSqlNumResourceStrategy,enableBasicAssertions,enableNLPParser,enableProcessMonitor,enableTrackEvaluatedIndividual,enableTrackIndividual,enableWeightBasedMutationRateSelectionForGene,endNumberOfMutations,endpointFocus,errorTextEpsilon,exceedTargetsFile,executiveSummary,expandRestIndividuals,expectationsActive,exportCoveredTarget,exportDependencies,exportImpacts,extraHeuristicsFile,extractSqlExecutionInfo,feedbackDirectedSampling,focusedSearchActivationTime,geneMutationStrategy,geneWeightBasedOnImpactsBy,generateSqlDataWithDSE,generateSqlDataWithSearch,heuristicsForSQL,impactAfterMutationFile,impactFile,jsControllerPath,killSwitch,lastLineEpsilon,maxActionEvaluations,maxLengthOfTraces,maxMutationRate,maxResponseByteSize,maxSearchSuiteSize,maxSqlInitActionsPerMissingData,maxSqlInitActionsPerResource,maxTestSize,maxTime,maxTimeInSeconds,maxlengthOfHistoryForAGM,minRowOfTable,minimumSizeControl,mutatedGeneFile,mutationTargetsSelectionStrategy,outputFilePrefix,outputFileSuffix,outputFolder,outputFormat,populationSize,probOfApplySQLActionToCreateResources,probOfArchiveMutation,probOfEnablingResourceDependencyHeuristics,probOfRandomSampling,probOfSelectFromDatabase,probOfSmartSampling,problemType,processFiles,processFormat,processInterval,ratePerMinute,recordExceededTargets,resourceSampleStrategy,saveArchiveAfterMutation,saveImpactAfterMutation,saveMutationInfo,secondaryObjectiveStrategy,seed,seedTestCases,seedTestCasesFormat,seedTestCasesPath,showProgress,skipFailureSQLInTestFile,snapshotInterval,snapshotStatisticsFile,specializeSQLGeneSelection,startNumberOfMutations,startingPerOfGenesToMutate,statisticsColumnId,statisticsFile,stoppingCriterion,structureMutationProbability,sutControllerHost,sutControllerPort,testSuiteFileName,testSuiteSplitType,tournamentSize,useMethodReplacement,useNonIntegerReplacement,useTimeInFeedbackSampling,useWeightedSampling,weightBasedMutationRate,writeExtraHeuristicsFile,writeStatistics,xoverProbability
5.0,11,0,53,105,7,30,31,46,7,7,6,6,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,1.4285714285714286,3,1,0,0,bahnql-herokuapp,0.25,0.25,0.25,0.25,false,APPROACH_IMPACT,MIO,true,archive.csv,SPECIFIED_WITH_SPECIFIC_TARGETS,10,false,0.9,false,,https://bahnql.herokuapp.com/graphql,true,false,coveredTargets.txt,NAME,true,true,0.8,dependencies.csv,false,false,false,false,NONE,true,false,false,true,false,true,10,null,0.8,exceedTargets.txt,false,true,true,false,false,false,extra_heuristics.csv,true,LAST,0.5,ONE_OVER_N_BIASED_SQL,RATIO,false,true,true,impactSnapshot.csv,impact.csv,./app-driver.js,true,0.8,1000,10,0.9,1000000,50,5,0,10,60s,0,10,10,2,mutatedGeneInfo.csv,FIRST_NOT_COVERED_TARGET,EM_bbExp_False_rate_60_1_Test,,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/tests/bahnql-herokuapp,JAVA_JUNIT_4,30,0.0,0.5,0.0,0.5,0.1,0.5,GRAPHQL,process_data,JSON_ALL,0.0,60,false,NONE,false,false,false,AVG_DISTANCE_SAME_N_ACTIONS,1,false,POSTMAN,postman.postman_collection.json,false,false,5.0,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/reports/snapshot_bahnql-herokuapp_1.csv,true,1,0.5,bahnql-herokuapp,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/reports/statistics_bahnql-herokuapp_1.csv,FITNESS_EVALUATIONS,0.5,localhost,1010,,NONE,10,true,true,true,false,true,false,true,0.7
10.0,21,0,109,163,7,25,31,100,7,7,6,6,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0,1.4285714285714286,3,1,0,0,bahnql-herokuapp,0.25,0.25,0.25,0.25,false,APPROACH_IMPACT,MIO,true,archive.csv,SPECIFIED_WITH_SPECIFIC_TARGETS,10,false,0.9,false,,https://bahnql.herokuapp.com/graphql,true,false,coveredTargets.txt,NAME,true,true,0.8,dependencies.csv,false,false,false,false,NONE,true,false,false,true,false,true,10,null,0.8,exceedTargets.txt,false,true,true,false,false,false,extra_heuristics.csv,true,LAST,0.5,ONE_OVER_N_BIASED_SQL,RATIO,false,true,true,impactSnapshot.csv,impact.csv,./app-driver.js,true,0.8,1000,10,0.9,1000000,50,5,0,10,60s,0,10,10,2,mutatedGeneInfo.csv,FIRST_NOT_COVERED_TARGET,EM_bbExp_False_rate_60_1_Test,,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/tests/bahnql-herokuapp,JAVA_JUNIT_4,30,0.0,0.5,0.0,0.5,0.1,0.5,GRAPHQL,process_data,JSON_ALL,0.0,60,false,NONE,false,false,false,AVG_DISTANCE_SAME_N_ACTIONS,1,false,POSTMAN,postman.postman_collection.json,false,false,5.0,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/reports/snapshot_bahnql-herokuapp_1.csv,true,1,0.5,bahnql-herokuapp,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/reports/statistics_bahnql-herokuapp_1.csv,FITNESS_EVALUATIONS,0.5,localhost,1010,,NONE,10,true,true,true,false,true,false,true,0.7
15.0,28,0,153,208,9,40,33,149,7,7,6,6,5,0,3,3,0,3,0,0,0,0,0,0,0,0,0,1.4285714285714286,3,1,0,0,bahnql-herokuapp,0.25,0.25,0.25,0.25,false,APPROACH_IMPACT,MIO,true,archive.csv,SPECIFIED_WITH_SPECIFIC_TARGETS,10,false,0.9,false,,https://bahnql.herokuapp.com/graphql,true,false,coveredTargets.txt,NAME,true,true,0.8,dependencies.csv,false,false,false,false,NONE,true,false,false,true,false,true,10,null,0.8,exceedTargets.txt,false,true,true,false,false,false,extra_heuristics.csv,true,LAST,0.5,ONE_OVER_N_BIASED_SQL,RATIO,false,true,true,impactSnapshot.csv,impact.csv,./app-driver.js,true,0.8,1000,10,0.9,1000000,50,5,0,10,60s,0,10,10,2,mutatedGeneInfo.csv,FIRST_NOT_COVERED_TARGET,EM_bbExp_False_rate_60_1_Test,,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/tests/bahnql-herokuapp,JAVA_JUNIT_4,30,0.0,0.5,0.0,0.5,0.1,0.5,GRAPHQL,process_data,JSON_ALL,0.0,60,false,NONE,false,false,false,AVG_DISTANCE_SAME_N_ACTIONS,1,false,POSTMAN,postman.postman_collection.json,false,false,5.0,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/reports/snapshot_bahnql-herokuapp_1.csv,true,1,0.5,bahnql-herokuapp,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/reports/statistics_bahnql-herokuapp_1.csv,FITNESS_EVALUATIONS,0.5,localhost,1010,,NONE,10,true,true,true,false,true,false,true,0.7
20.0,38,0,207,266,9,33,33,198,7,7,6,6,5,0,3,3,0,3,0,0,0,0,0,0,0,0,0,1.4285714285714286,3,1,0,0,bahnql-herokuapp,0.25,0.25,0.25,0.25,false,APPROACH_IMPACT,MIO,true,archive.csv,SPECIFIED_WITH_SPECIFIC_TARGETS,10,false,0.9,false,,https://bahnql.herokuapp.com/graphql,true,false,coveredTargets.txt,NAME,true,true,0.8,dependencies.csv,false,false,false,false,NONE,true,false,false,true,false,true,10,null,0.8,exceedTargets.txt,false,true,true,false,false,false,extra_heuristics.csv,true,LAST,0.5,ONE_OVER_N_BIASED_SQL,RATIO,false,true,true,impactSnapshot.csv,impact.csv,./app-driver.js,true,0.8,1000,10,0.9,1000000,50,5,0,10,60s,0,10,10,2,mutatedGeneInfo.csv,FIRST_NOT_COVERED_TARGET,EM_bbExp_False_rate_60_1_Test,,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/tests/bahnql-herokuapp,JAVA_JUNIT_4,30,0.0,0.5,0.0,0.5,0.1,0.5,GRAPHQL,process_data,JSON_ALL,0.0,60,false,NONE,false,false,false,AVG_DISTANCE_SAME_N_ACTIONS,1,false,POSTMAN,postman.postman_collection.json,false,false,5.0,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/reports/snapshot_bahnql-herokuapp_1.csv,true,1,0.5,bahnql-herokuapp,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/reports/statistics_bahnql-herokuapp_1.csv,FITNESS_EVALUATIONS,0.5,localhost,1010,,NONE,10,true,true,true,false,true,false,true,0.7
25.0,50,0,257,320,10,33,33,245,7,7,6,6,5,0,3,3,0,3,0,0,0,0,0,0,0,0,0,1.4285714285714286,3,1,0,0,bahnql-herokuapp,0.25,0.25,0.25,0.25,false,APPROACH_IMPACT,MIO,true,archive.csv,SPECIFIED_WITH_SPECIFIC_TARGETS,10,false,0.9,false,,https://bahnql.herokuapp.com/graphql,true,false,coveredTargets.txt,NAME,true,true,0.8,dependencies.csv,false,false,false,false,NONE,true,false,false,true,false,true,10,null,0.8,exceedTargets.txt,false,true,true,false,false,false,extra_heuristics.csv,true,LAST,0.5,ONE_OVER_N_BIASED_SQL,RATIO,false,true,true,impactSnapshot.csv,impact.csv,./app-driver.js,true,0.8,1000,10,0.9,1000000,50,5,0,10,60s,0,10,10,2,mutatedGeneInfo.csv,FIRST_NOT_COVERED_TARGET,EM_bbExp_False_rate_60_1_Test,,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/tests/bahnql-herokuapp,JAVA_JUNIT_4,30,0.0,0.5,0.0,0.5,0.1,0.5,GRAPHQL,process_data,JSON_ALL,0.0,60,false,NONE,false,false,false,AVG_DISTANCE_SAME_N_ACTIONS,1,false,POSTMAN,postman.postman_collection.json,false,false,5.0,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/reports/snapshot_bahnql-herokuapp_1.csv,true,1,0.5,bahnql-herokuapp,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/reports/statistics_bahnql-herokuapp_1.csv,FITNESS_EVALUATIONS,0.5,localhost,1010,,NONE,10,true,true,true,false,true,false,true,0.7
30.0,57,0,301,368,11,34,33,291,7,7,6,6,5,0,3,3,0,3,0,0,0,0,0,0,0,0,0,1.4285714285714286,3,1,0,0,bahnql-herokuapp,0.25,0.25,0.25,0.25,false,APPROACH_IMPACT,MIO,true,archive.csv,SPECIFIED_WITH_SPECIFIC_TARGETS,10,false,0.9,false,,https://bahnql.herokuapp.com/graphql,true,false,coveredTargets.txt,NAME,true,true,0.8,dependencies.csv,false,false,false,false,NONE,true,false,false,true,false,true,10,null,0.8,exceedTargets.txt,false,true,true,false,false,false,extra_heuristics.csv,true,LAST,0.5,ONE_OVER_N_BIASED_SQL,RATIO,false,true,true,impactSnapshot.csv,impact.csv,./app-driver.js,true,0.8,1000,10,0.9,1000000,50,5,0,10,60s,0,10,10,2,mutatedGeneInfo.csv,FIRST_NOT_COVERED_TARGET,EM_bbExp_False_rate_60_1_Test,,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/tests/bahnql-herokuapp,JAVA_JUNIT_4,30,0.0,0.5,0.0,0.5,0.1,0.5,GRAPHQL,process_data,JSON_ALL,0.0,60,false,NONE,false,false,false,AVG_DISTANCE_SAME_N_ACTIONS,1,false,POSTMAN,postman.postman_collection.json,false,false,5.0,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/reports/snapshot_bahnql-herokuapp_1.csv,true,1,0.5,bahnql-herokuapp,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/reports/statistics_bahnql-herokuapp_1.csv,FITNESS_EVALUATIONS,0.5,localhost,1010,,NONE,10,true,true,true,false,true,false,true,0.7
35.0,68,0,352,427,12,35,33,346,7,7,6,6,5,0,3,3,0,3,0,0,0,0,0,0,0,0,0,1.4285714285714286,3,1,0,0,bahnql-herokuapp,0.25,0.25,0.25,0.25,false,APPROACH_IMPACT,MIO,true,archive.csv,SPECIFIED_WITH_SPECIFIC_TARGETS,10,false,0.9,false,,https://bahnql.herokuapp.com/graphql,true,false,coveredTargets.txt,NAME,true,true,0.8,dependencies.csv,false,false,false,false,NONE,true,false,false,true,false,true,10,null,0.8,exceedTargets.txt,false,true,true,false,false,false,extra_heuristics.csv,true,LAST,0.5,ONE_OVER_N_BIASED_SQL,RATIO,false,true,true,impactSnapshot.csv,impact.csv,./app-driver.js,true,0.8,1000,10,0.9,1000000,50,5,0,10,60s,0,10,10,2,mutatedGeneInfo.csv,FIRST_NOT_COVERED_TARGET,EM_bbExp_False_rate_60_1_Test,,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/tests/bahnql-herokuapp,JAVA_JUNIT_4,30,0.0,0.5,0.0,0.5,0.1,0.5,GRAPHQL,process_data,JSON_ALL,0.0,60,false,NONE,false,false,false,AVG_DISTANCE_SAME_N_ACTIONS,1,false,POSTMAN,postman.postman_collection.json,false,false,5.0,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/reports/snapshot_bahnql-herokuapp_1.csv,true,1,0.5,bahnql-herokuapp,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/reports/statistics_bahnql-herokuapp_1.csv,FITNESS_EVALUATIONS,0.5,localhost,1010,,NONE,10,true,true,true,false,true,false,true,0.7
40.0,76,0,408,486,12,35,33,346,7,7,6,6,5,0,3,3,0,3,0,0,0,0,0,0,0,0,0,1.4285714285714286,3,1,0,0,bahnql-herokuapp,0.25,0.25,0.25,0.25,false,APPROACH_IMPACT,MIO,true,archive.csv,SPECIFIED_WITH_SPECIFIC_TARGETS,10,false,0.9,false,,https://bahnql.herokuapp.com/graphql,true,false,coveredTargets.txt,NAME,true,true,0.8,dependencies.csv,false,false,false,false,NONE,true,false,false,true,false,true,10,null,0.8,exceedTargets.txt,false,true,true,false,false,false,extra_heuristics.csv,true,LAST,0.5,ONE_OVER_N_BIASED_SQL,RATIO,false,true,true,impactSnapshot.csv,impact.csv,./app-driver.js,true,0.8,1000,10,0.9,1000000,50,5,0,10,60s,0,10,10,2,mutatedGeneInfo.csv,FIRST_NOT_COVERED_TARGET,EM_bbExp_False_rate_60_1_Test,,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/tests/bahnql-herokuapp,JAVA_JUNIT_4,30,0.0,0.5,0.0,0.5,0.1,0.5,GRAPHQL,process_data,JSON_ALL,0.0,60,false,NONE,false,false,false,AVG_DISTANCE_SAME_N_ACTIONS,1,false,POSTMAN,postman.postman_collection.json,false,false,5.0,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/reports/snapshot_bahnql-herokuapp_1.csv,true,1,0.5,bahnql-herokuapp,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/reports/statistics_bahnql-herokuapp_1.csv,FITNESS_EVALUATIONS,0.5,localhost,1010,,NONE,10,true,true,true,false,true,false,true,0.7
45.0,86,0,451,542,12,29,33,429,7,7,6,6,5,0,3,3,0,3,0,0,0,0,0,0,0,0,0,1.4285714285714286,3,1,0,0,bahnql-herokuapp,0.25,0.25,0.25,0.25,false,APPROACH_IMPACT,MIO,true,archive.csv,SPECIFIED_WITH_SPECIFIC_TARGETS,10,false,0.9,false,,https://bahnql.herokuapp.com/graphql,true,false,coveredTargets.txt,NAME,true,true,0.8,dependencies.csv,false,false,false,false,NONE,true,false,false,true,false,true,10,null,0.8,exceedTargets.txt,false,true,true,false,false,false,extra_heuristics.csv,true,LAST,0.5,ONE_OVER_N_BIASED_SQL,RATIO,false,true,true,impactSnapshot.csv,impact.csv,./app-driver.js,true,0.8,1000,10,0.9,1000000,50,5,0,10,60s,0,10,10,2,mutatedGeneInfo.csv,FIRST_NOT_COVERED_TARGET,EM_bbExp_False_rate_60_1_Test,,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/tests/bahnql-herokuapp,JAVA_JUNIT_4,30,0.0,0.5,0.0,0.5,0.1,0.5,GRAPHQL,process_data,JSON_ALL,0.0,60,false,NONE,false,false,false,AVG_DISTANCE_SAME_N_ACTIONS,1,false,POSTMAN,postman.postman_collection.json,false,false,5.0,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/reports/snapshot_bahnql-herokuapp_1.csv,true,1,0.5,bahnql-herokuapp,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/reports/statistics_bahnql-herokuapp_1.csv,FITNESS_EVALUATIONS,0.5,localhost,1010,,NONE,10,true,true,true,false,true,false,true,0.7
50.0,94,0,503,643,13,36,35,470,7,7,6,6,5,0,3,3,0,3,0,0,0,0,0,0,0,0,0,1.5714285714285714,3,2,0,0,bahnql-herokuapp,0.25,0.25,0.25,0.25,false,APPROACH_IMPACT,MIO,true,archive.csv,SPECIFIED_WITH_SPECIFIC_TARGETS,10,false,0.9,false,,https://bahnql.herokuapp.com/graphql,true,false,coveredTargets.txt,NAME,true,true,0.8,dependencies.csv,false,false,false,false,NONE,true,false,false,true,false,true,10,null,0.8,exceedTargets.txt,false,true,true,false,false,false,extra_heuristics.csv,true,LAST,0.5,ONE_OVER_N_BIASED_SQL,RATIO,false,true,true,impactSnapshot.csv,impact.csv,./app-driver.js,true,0.8,1000,10,0.9,1000000,50,5,0,10,60s,0,10,10,2,mutatedGeneInfo.csv,FIRST_NOT_COVERED_TARGET,EM_bbExp_False_rate_60_1_Test,,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/tests/bahnql-herokuapp,JAVA_JUNIT_4,30,0.0,0.5,0.0,0.5,0.1,0.5,GRAPHQL,process_data,JSON_ALL,0.0,60,false,NONE,false,false,false,AVG_DISTANCE_SAME_N_ACTIONS,1,false,POSTMAN,postman.postman_collection.json,false,false,5.0,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/reports/snapshot_bahnql-herokuapp_1.csv,true,1,0.5,bahnql-herokuapp,C:/Users/asmab/codes/EAST-papers/2022/icst-graphql/scripts/gqlbb1/reports/statistics_bahnql-herokuapp_1.csv,FITNESS_EVALUATIONS,0.5,localhost,1010,,NONE,10,true,true,true,false,true,false,true,0.7
